RELEVANT_IMPRESSIONS_DAILY,FROM_IDEOLOGY,TO_IDEOLOGY,FROM_MEDIA,TO_MEDIA,FROM_LR,TO_LR
940200.787813893,Unclassified,Unclassified,YouTube,YouTube,R,R
479.698829218,Partisan Left,Partisan Right,YouTube,YouTube,C,R
1446055.10335355,Social Justice,Center/Left MSM,Mainstream Media,Mainstream Media,L,C
34001.789710733,Partisan Right,Conspiracy,Mainstream Media,YouTube,R,C
16662.825648255,Center/Left MSM,Partisan Left,Mainstream Media,YouTube,C,C
3643.139527958,Religious Conservative,Black,YouTube,YouTube,R,C
5798.909647035,Partisan Right,Socialist,Mainstream Media,YouTube,R,L
41.89399262,Anti-SJW,QAnon,YouTube,YouTube,R,C
0.03508522727,Partisan Right,Conspiracy,Mainstream Media,YouTube,C,R
70353.921850948,Unclassified,Partisan Left,YouTube,Mainstream Media,R,L
0.04444445455,Partisan Right,Partisan Left,Mainstream Media,Mainstream Media,R,C
97438.100239489,Religious Conservative,Center/Left MSM,Missing Link Media,Mainstream Media,R,L
54747.359611544,Black,Center/Left MSM,YouTube,Mainstream Media,C,L
16428448.5064201,Anti-SJW,Partisan Right,YouTube,Mainstream Media,R,R
5146514.88032134,Social Justice,Partisan Left,Missing Link Media,Mainstream Media,L,L
35568.695481489,Religious Conservative,Partisan Right,YouTube,Missing Link Media,R,R
220.600335066,Unclassified,Partisan Left,Mainstream Media,YouTube,R,C
182.374419732,Libertarian,Socialist,YouTube,YouTube,C,L
56.462904021,Center/Left MSM,Socialist,Mainstream Media,YouTube,L,C
8698.892768716,Partisan Left,Religious Conservative,Mainstream Media,YouTube,L,R
28063.249780643,Social Justice,Libertarian,YouTube,YouTube,L,R
41.863529688,Conspiracy,Socialist,YouTube,YouTube,C,C
484.552548283,Socialist,MRA,YouTube,YouTube,L,R
92.7079518,Unclassified,Socialist,YouTube,YouTube,R,C
80074.504275889,Religious Conservative,Partisan Left,Missing Link Media,YouTube,R,L
1482.527294183,Social Justice,Religious Conservative,Mainstream Media,YouTube,L,R
12.517151459,Partisan Left,Conspiracy,YouTube,YouTube,C,R
700.501517875,Religious Conservative,Anti-SJW,YouTube,YouTube,C,R
122536.405789257,LGBT,LGBT,YouTube,YouTube,L,L
25.450931385,Libertarian,MRA,YouTube,YouTube,C,R
664.410608683,Libertarian,Anti-theist,YouTube,YouTube,R,C
66.114175521,Religious Conservative,Partisan Right,YouTube,YouTube,R,C
37473.032013364,Partisan Right,Religious Conservative,YouTube,YouTube,R,C
4342929.74920745,Social Justice,,Missing Link Media,,L,
31346.311924716,Anti-SJW,Unclassified,YouTube,YouTube,C,L
2587.792585478,Partisan Right,Partisan Right,Mainstream Media,YouTube,R,C
1088.921478606,Social Justice,Partisan Left,Mainstream Media,YouTube,L,C
294.993371248,Black,Partisan Right,YouTube,Missing Link Media,L,R
39407.550389405,Partisan Right,Center/Left MSM,YouTube,Mainstream Media,C,L
315.847481265,Unclassified,Partisan Right,YouTube,Missing Link Media,L,R
11.899317385,Unclassified,Social Justice,Mainstream Media,Mainstream Media,L,L
530.596304636,QAnon,QAnon,YouTube,YouTube,R,C
295.425957214,Black,,YouTube,,R,
1595.094312194,LGBT,Partisan Left,YouTube,Mainstream Media,L,L
536.675332695,Libertarian,Unclassified,YouTube,YouTube,C,L
12809.391429787,Social Justice,Unclassified,Missing Link Media,YouTube,L,L
38829.467012198,Anti-SJW,Center/Left MSM,Missing Link Media,Mainstream Media,R,L
7.48362805,Social Justice,Unclassified,YouTube,Mainstream Media,C,R
1112.65505636,Conspiracy,Anti-theist,YouTube,YouTube,C,C
644.857326033,QAnon,Anti-theist,YouTube,YouTube,R,C
23289.339113834,Partisan Right,Social Justice,YouTube,Mainstream Media,C,L
71.157332018,LGBT,Unclassified,YouTube,YouTube,L,R
5.018271129,Conspiracy,LGBT,YouTube,YouTube,C,L
1932.9511302,Religious Conservative,Religious Conservative,Missing Link Media,YouTube,R,C
828.313032784,White Identitarian,Anti-theist,YouTube,YouTube,R,L
769.879848386,QAnon,Center/Left MSM,YouTube,Missing Link Media,R,C
84.515098083,Unclassified,Center/Left MSM,YouTube,Missing Link Media,C,L
226.297985249,Unclassified,Religious Conservative,YouTube,YouTube,C,C
431.169335511,Partisan Right,Religious Conservative,Missing Link Media,YouTube,R,C
53.955542027,MRA,Partisan Left,YouTube,YouTube,R,C
2923.830409246,Religious Conservative,Black,Missing Link Media,YouTube,R,C
0,Religious Conservative,Center/Left MSM,YouTube,Missing Link Media,C,L
0.4994818182,Religious Conservative,MRA,Missing Link Media,YouTube,R,C
6073.602537002,Unclassified,Social Justice,Mainstream Media,Missing Link Media,R,L
8.69360405,Unclassified,Social Justice,Mainstream Media,YouTube,R,C
235.190074905,Anti-SJW,Conspiracy,YouTube,YouTube,L,R
0.0744455,LGBT,Libertarian,YouTube,YouTube,C,R
8.138192273,Partisan Left,Religious Conservative,YouTube,Missing Link Media,C,R
0.885180404,Conspiracy,Center/Left MSM,YouTube,Missing Link Media,C,L
7632.535152212,Social Justice,Unclassified,Missing Link Media,Mainstream Media,L,L
7064.492463381,MRA,Center/Left MSM,YouTube,Missing Link Media,R,C
70191.722181402,Religious Conservative,Religious Conservative,YouTube,Missing Link Media,R,R
5142.188622248,White Identitarian,Conspiracy,YouTube,YouTube,R,C
61988.34692415,Anti-theist,Anti-theist,YouTube,YouTube,L,C
4221.107394401,Anti-SJW,Social Justice,Missing Link Media,YouTube,R,L
3710454.1900889,Partisan Right,Center/Left MSM,Mainstream Media,Mainstream Media,R,C
14459.426588184,Anti-SJW,Anti-theist,YouTube,YouTube,R,C
229.364736599,LGBT,Unclassified,YouTube,YouTube,L,L
17779.926017196,Libertarian,Unclassified,YouTube,YouTube,R,L
3677.320945808,Partisan Right,MRA,Mainstream Media,YouTube,R,R
12667.764596107,Black,Anti-SJW,YouTube,YouTube,C,R
3579.604799683,Anti-theist,Center/Left MSM,YouTube,Mainstream Media,L,C
37775.047351035,Social Justice,Unclassified,Mainstream Media,YouTube,L,R
795310.191113618,Conspiracy,Partisan Left,YouTube,Mainstream Media,R,L
0.6696813991,,Unclassified,,Mainstream Media,,L
13.635512257,Center/Left MSM,LGBT,Mainstream Media,YouTube,L,L
1695.175085115,Socialist,Religious Conservative,YouTube,YouTube,L,R
3.688053709,Unclassified,Partisan Left,YouTube,Mainstream Media,C,C
59.631313162,Unclassified,Anti-theist,YouTube,YouTube,R,L
305435.999621439,Conspiracy,Partisan Right,YouTube,Mainstream Media,C,R
303.37454556,MRA,Socialist,YouTube,YouTube,C,L
2.347037784,Religious Conservative,Conspiracy,YouTube,YouTube,R,L
242.296701181,Socialist,Libertarian,YouTube,YouTube,L,C
14298.15561331,Anti-theist,Partisan Left,YouTube,Mainstream Media,L,L
3434.642156436,White Identitarian,Unclassified,YouTube,YouTube,R,L
9499.563418218,QAnon,Partisan Right,YouTube,Mainstream Media,R,C
1287.910839643,Social Justice,Partisan Right,YouTube,Mainstream Media,L,C
9748.574698355,QAnon,Partisan Right,YouTube,YouTube,C,R
424.930554237,Socialist,Partisan Right,YouTube,Missing Link Media,L,R
272935.257119576,Unclassified,Partisan Right,Mainstream Media,Mainstream Media,R,R
5590.073467278,Partisan Left,Partisan Left,Mainstream Media,YouTube,L,C
13895.949654978,Partisan Left,Partisan Left,YouTube,YouTube,C,C
86.772971176,Center/Left MSM,Socialist,Mainstream Media,YouTube,C,C
0.1762175057,Anti-SJW,Center/Left MSM,YouTube,Missing Link Media,C,L
818.786104967,Libertarian,Social Justice,YouTube,Missing Link Media,C,L
18838.589201768,Anti-SJW,Anti-SJW,Missing Link Media,YouTube,R,C
2058.737911248,Anti-SJW,Center/Left MSM,YouTube,Mainstream Media,L,C
74.115068512,White Identitarian,Religious Conservative,YouTube,YouTube,R,C
730.583166793,Partisan Left,Partisan Right,YouTube,Mainstream Media,L,C
19759.047039662,Partisan Right,Libertarian,YouTube,YouTube,C,R
254.209216748,Anti-SJW,White Identitarian,YouTube,YouTube,L,R
34976.154111202,Partisan Right,Partisan Right,Mainstream Media,Mainstream Media,R,C
762.444063048,White Identitarian,Partisan Left,YouTube,YouTube,R,C
458237.078284285,Unclassified,Unclassified,Mainstream Media,Mainstream Media,R,R
4.473094094,Partisan Left,Partisan Right,Mainstream Media,YouTube,C,R
30.804823536,Social Justice,Center/Left MSM,YouTube,Missing Link Media,L,L
1624.445981807,QAnon,Partisan Left,YouTube,YouTube,R,C
112.994301599,Social Justice,Libertarian,Missing Link Media,YouTube,L,C
0.8596129318,Unclassified,MRA,YouTube,YouTube,R,C
133.416879641,Black,White Identitarian,YouTube,YouTube,L,R
677.82584253,QAnon,Social Justice,YouTube,Missing Link Media,C,L
79.070695951,Social Justice,Partisan Right,YouTube,YouTube,C,R
128.458316524,Black,Black,YouTube,YouTube,C,R
0.8277725463,Unclassified,MRA,YouTube,YouTube,L,C
451.717059206,Partisan Left,Unclassified,YouTube,Mainstream Media,C,R
75.488612209,MRA,Partisan Right,YouTube,Missing Link Media,C,R
24614.07823694,Socialist,Libertarian,YouTube,YouTube,L,R
864.162417006,Libertarian,Partisan Right,YouTube,Mainstream Media,R,C
25.597231307,Libertarian,Black,YouTube,YouTube,C,C
83.8736882,Black,Partisan Right,YouTube,YouTube,C,C
598.104290248,MRA,Unclassified,YouTube,YouTube,C,R
48.912154094,Partisan Right,Center/Left MSM,YouTube,Missing Link Media,R,L
0,Religious Conservative,White Identitarian,YouTube,YouTube,C,R
0,Partisan Left,QAnon,Mainstream Media,YouTube,C,R
7.178875569,QAnon,MRA,YouTube,YouTube,C,R
0.5885198935,Center/Left MSM,Conspiracy,Missing Link Media,YouTube,L,R
0,Partisan Right,White Identitarian,Mainstream Media,YouTube,C,R
2695.911763467,Anti-SJW,Social Justice,YouTube,Mainstream Media,L,L
0,Center/Left MSM,Conspiracy,Mainstream Media,YouTube,L,L
16.159177133,Anti-SJW,MRA,YouTube,YouTube,L,C
6.366226984,Partisan Right,Libertarian,Mainstream Media,YouTube,C,R
4899.711662789,Anti-SJW,Unclassified,Missing Link Media,YouTube,R,R
66.649302312,LGBT,Black,YouTube,YouTube,L,C
0,Religious Conservative,Anti-SJW,YouTube,Missing Link Media,C,R
0,Social Justice,Partisan Right,Mainstream Media,YouTube,C,R
183.662961069,Unclassified,Social Justice,YouTube,YouTube,C,C
19.735299392,Black,Social Justice,YouTube,Mainstream Media,C,C
2.329543403,Black,Center/Left MSM,YouTube,Mainstream Media,R,C
0.04394437443,Partisan Right,Socialist,Mainstream Media,YouTube,R,C
0,Social Justice,Libertarian,YouTube,YouTube,C,C
8.418693319,Anti-SJW,White Identitarian,Missing Link Media,YouTube,R,R
0.6354569796,Center/Left MSM,Religious Conservative,Missing Link Media,YouTube,L,R
0,Religious Conservative,LGBT,YouTube,YouTube,C,L
146.905852545,QAnon,Unclassified,YouTube,Mainstream Media,R,L
0.660928929,Conspiracy,Social Justice,YouTube,Mainstream Media,C,C
52.587731457,Anti-theist,Unclassified,YouTube,Mainstream Media,L,L
0.5230527571,Religious Conservative,Anti-theist,YouTube,YouTube,C,C
0.8249289773,Libertarian,LGBT,YouTube,YouTube,C,L
0.742820071,Black,Center/Left MSM,YouTube,Missing Link Media,L,L
18.386567273,QAnon,Social Justice,YouTube,YouTube,C,C
1259.217568392,Anti-SJW,Partisan Right,Missing Link Media,Mainstream Media,R,C
0,Unclassified,Social Justice,Mainstream Media,Missing Link Media,L,L
103.885518817,Anti-SJW,Partisan Right,Missing Link Media,YouTube,R,C
0,Partisan Left,MRA,YouTube,YouTube,C,C
1.182679619,LGBT,Anti-SJW,YouTube,Missing Link Media,L,R
0,Partisan Left,Black,Mainstream Media,YouTube,L,R
9.010780505,Unclassified,Unclassified,YouTube,Mainstream Media,L,L
0.3366525795,Black,Social Justice,YouTube,Mainstream Media,R,L
0.1755457741,Black,LGBT,YouTube,YouTube,L,L
0,Partisan Left,Partisan Left,YouTube,Mainstream Media,C,C
0.2879338374,Anti-theist,Partisan Right,YouTube,Mainstream Media,L,C
2.453356123,White Identitarian,Unclassified,YouTube,YouTube,C,C
0.1586525724,LGBT,Anti-theist,YouTube,YouTube,C,C
0,Anti-SJW,Partisan Right,YouTube,YouTube,L,C
16.170284994,Social Justice,Socialist,Missing Link Media,YouTube,L,C
45.521812784,QAnon,Partisan Left,YouTube,YouTube,C,C
0.3322844858,Black,Socialist,YouTube,YouTube,L,C
4.641120824,QAnon,Partisan Right,YouTube,YouTube,C,C
0.1732954545,Social Justice,Social Justice,Mainstream Media,Mainstream Media,L,C
2.296961477,Partisan Left,Center/Left MSM,Mainstream Media,Missing Link Media,C,C
0.006272130682,Libertarian,Anti-SJW,YouTube,YouTube,C,L
108.712362219,Anti-SJW,Conspiracy,YouTube,YouTube,L,C
1.773837041,LGBT,Conspiracy,YouTube,YouTube,C,C
1.551744871,Black,Partisan Left,YouTube,Mainstream Media,R,L
0.184597282,Center/Left MSM,Unclassified,Missing Link Media,YouTube,L,R
89.362739233,Libertarian,Partisan Right,YouTube,Mainstream Media,C,C
0.0860934375,Anti-theist,Partisan Left,YouTube,Mainstream Media,C,C
0,Partisan Left,QAnon,YouTube,YouTube,C,C
5.34066,MRA,LGBT,YouTube,YouTube,C,L
0.2944790014,LGBT,Unclassified,YouTube,YouTube,C,L
1.690794588,Black,Anti-SJW,YouTube,YouTube,R,C
0.7454433835,Black,Anti-SJW,YouTube,YouTube,C,L
15.241706916,Partisan Right,Center/Left MSM,Mainstream Media,Missing Link Media,C,C
0.2136601515,Conspiracy,MRA,YouTube,YouTube,L,C
18.97894742,Anti-SJW,Anti-SJW,YouTube,Missing Link Media,L,R
0,Center/Left MSM,Social Justice,Missing Link Media,YouTube,L,C
0,Socialist,Partisan Right,YouTube,YouTube,C,C
0,Partisan Right,Social Justice,Mainstream Media,YouTube,C,C
0,Anti-theist,Conspiracy,YouTube,YouTube,C,L
0,Black,Black,YouTube,YouTube,L,R
0.573554544,Anti-SJW,Unclassified,Missing Link Media,Mainstream Media,R,L
0.8212979972,Conspiracy,Unclassified,YouTube,Mainstream Media,L,R
0,Religious Conservative,Social Justice,YouTube,YouTube,C,C
0,MRA,Conspiracy,YouTube,YouTube,R,L
0.002698863636,Libertarian,Social Justice,YouTube,YouTube,C,C
0,Social Justice,Partisan Left,Mainstream Media,Mainstream Media,C,L
0.0006441325758,Conspiracy,Black,YouTube,YouTube,L,R
0.001349431818,Partisan Left,Social Justice,Mainstream Media,YouTube,C,C
0.01239853788,Conspiracy,MRA,YouTube,YouTube,L,R
0,Partisan Right,Partisan Left,YouTube,Mainstream Media,C,C
1.015625,QAnon,Unclassified,YouTube,Mainstream Media,C,L
0,Social Justice,Center/Left MSM,YouTube,Missing Link Media,C,L
0,Libertarian,White Identitarian,YouTube,YouTube,R,C
0.07221954545,Black,Partisan Left,YouTube,YouTube,R,C
12.508689375,Social Justice,Black,Missing Link Media,YouTube,L,R
0,Social Justice,MRA,Mainstream Media,YouTube,C,R
0,Black,Socialist,YouTube,YouTube,R,L
41780.089489637,,Unclassified,,YouTube,,C
854.493001562,,Social Justice,,Mainstream Media,,L
64769.100501435,Anti-SJW,Partisan Right,YouTube,YouTube,C,R
3.225483733,,MRA,,YouTube,,C
270455.926379273,,,,,,
6501.187621865,Center/Left MSM,Anti-theist,Mainstream Media,YouTube,C,L
1046266.79481822,Conspiracy,Conspiracy,YouTube,YouTube,R,R
4461.354919933,Anti-theist,Unclassified,YouTube,YouTube,L,L
89409.214801885,Partisan Left,Anti-SJW,Mainstream Media,YouTube,L,R
31065808.7708308,Center/Left MSM,Center/Left MSM,Mainstream Media,Mainstream Media,C,C
277859.533868379,Social Justice,Social Justice,YouTube,Missing Link Media,L,L
110728.694014417,Anti-SJW,Partisan Left,YouTube,YouTube,C,L
19696680.1220855,Social Justice,Social Justice,Mainstream Media,Mainstream Media,L,L
94745.299873346,Social Justice,Partisan Right,Missing Link Media,YouTube,L,R
650279.319104235,Anti-SJW,Partisan Left,YouTube,YouTube,R,L
326.591594602,Unclassified,Conspiracy,Mainstream Media,YouTube,R,R
82513.091493686,Unclassified,Partisan Right,YouTube,YouTube,C,R
351543.116230665,Unclassified,Center/Left MSM,Mainstream Media,Mainstream Media,R,C
6412752.7317106,Center/Left MSM,Partisan Right,Mainstream Media,Mainstream Media,C,R
0,,Conspiracy,,YouTube,,L
6941.012976994,Religious Conservative,Conspiracy,Missing Link Media,YouTube,R,C
87569.349050279,Socialist,Anti-SJW,YouTube,YouTube,L,R
5142.893542788,Libertarian,Conspiracy,YouTube,YouTube,R,R
124501.778787944,Socialist,Anti-SJW,YouTube,YouTube,L,C
18035.042371974,Center/Left MSM,Religious Conservative,Mainstream Media,YouTube,C,R
26049.976080238,Unclassified,Conspiracy,YouTube,YouTube,R,C
75231.806007156,Partisan Right,Social Justice,YouTube,YouTube,R,L
2155.160712223,Anti-theist,Libertarian,YouTube,YouTube,C,R
13358277.8155066,Partisan Left,Center/Left MSM,Mainstream Media,Mainstream Media,L,C
1698.132345975,Partisan Left,Anti-SJW,Mainstream Media,Missing Link Media,L,R
48107.412789737,Anti-SJW,Unclassified,YouTube,YouTube,R,L
94115320.2246958,Partisan Left,Partisan Left,Mainstream Media,Mainstream Media,L,L
71960.796505007,Anti-SJW,Libertarian,YouTube,YouTube,C,R
477253.497519365,Religious Conservative,Anti-SJW,YouTube,YouTube,R,R
97477.292711569,Center/Left MSM,Social Justice,Mainstream Media,YouTube,L,L
10666.896033906,Socialist,Partisan Right,YouTube,YouTube,L,R
2507429.0325773,Center/Left MSM,Social Justice,Mainstream Media,Mainstream Media,L,L
553850.516455919,Partisan Left,Social Justice,YouTube,Missing Link Media,L,L
42565.992130456,Unclassified,Libertarian,YouTube,YouTube,C,R
0,,Black,,YouTube,,R
93438.274170269,Social Justice,Social Justice,Mainstream Media,YouTube,L,L
2402.341531633,Unclassified,MRA,YouTube,YouTube,C,R
1372.001266178,Unclassified,White Identitarian,YouTube,YouTube,C,R
1713.816348881,Libertarian,Partisan Left,YouTube,YouTube,R,C
1209.493575382,Anti-SJW,Partisan Left,YouTube,YouTube,C,C
727243.368556325,Social Justice,Social Justice,Mainstream Media,Missing Link Media,L,L
1.422459871,Anti-SJW,Partisan Left,YouTube,Mainstream Media,R,C
33.573144365,Social Justice,LGBT,Mainstream Media,YouTube,L,L
2433.831700296,Partisan Right,Conspiracy,Missing Link Media,YouTube,R,R
114252.31005212,Libertarian,Center/Left MSM,YouTube,Mainstream Media,R,L
6213.255196976,Partisan Left,MRA,YouTube,YouTube,L,R
2118.483465029,Libertarian,Black,YouTube,YouTube,R,C
145180.109705697,Conspiracy,Partisan Left,YouTube,YouTube,R,L
43.04077767,Anti-SJW,Partisan Right,YouTube,Missing Link Media,L,R
418772.015199964,Anti-SJW,,Missing Link Media,,R,
1771.186054562,Unclassified,Unclassified,YouTube,Mainstream Media,L,R
14.050991747,LGBT,LGBT,YouTube,YouTube,C,L
284.727137954,Social Justice,MRA,Mainstream Media,YouTube,L,R
11509.391479601,Center/Left MSM,Social Justice,Missing Link Media,Missing Link Media,C,L
12103.875119737,Partisan Left,Center/Left MSM,YouTube,Missing Link Media,L,C
126.872569153,MRA,Black,YouTube,YouTube,C,C
372.646778804,,Libertarian,,YouTube,,R
50891.751786948,Anti-SJW,Conspiracy,YouTube,YouTube,R,R
187684.434842448,QAnon,Center/Left MSM,YouTube,Mainstream Media,R,L
256285.104345272,Religious Conservative,Libertarian,YouTube,YouTube,R,R
378.709293434,Partisan Left,White Identitarian,YouTube,YouTube,L,R
14317010.279234,Center/Left MSM,Center/Left MSM,Mainstream Media,Mainstream Media,L,L
19990.338230259,Anti-SJW,Anti-theist,YouTube,YouTube,C,C
387.561230824,Partisan Right,QAnon,YouTube,YouTube,C,R
599174.281134914,Partisan Right,Unclassified,YouTube,YouTube,R,C
346.276569804,Conspiracy,White Identitarian,YouTube,YouTube,C,R
788.38873263,Social Justice,Anti-theist,Mainstream Media,YouTube,L,L
129761.127383377,Black,Partisan Left,YouTube,Mainstream Media,L,L
10484.405907398,Social Justice,Conspiracy,Mainstream Media,YouTube,L,C
2037979.02617935,Anti-SJW,Partisan Left,YouTube,Mainstream Media,R,L
226977.917119666,Social Justice,Unclassified,YouTube,YouTube,L,C
1066.505682795,Unclassified,Socialist,Mainstream Media,YouTube,R,L
15866112.4735517,Center/Left MSM,,Mainstream Media,,L,
52.324638577,Religious Conservative,Center/Left MSM,YouTube,Mainstream Media,C,C
527.453595755,MRA,Black,YouTube,YouTube,R,C
19802.137354483,Social Justice,Conspiracy,Missing Link Media,YouTube,L,C
28471.120766424,MRA,Center/Left MSM,YouTube,Mainstream Media,R,C
73926.793934746,Black,Black,YouTube,YouTube,L,C
11853717.0774713,Partisan Right,Partisan Right,YouTube,Mainstream Media,R,R
1801.936881421,White Identitarian,MRA,YouTube,YouTube,R,R
0,,Partisan Right,,Mainstream Media,,C
3753.340977569,Partisan Right,Anti-theist,YouTube,YouTube,R,L
2251860.84162283,Partisan Left,Partisan Right,YouTube,Mainstream Media,L,R
32.678940426,Partisan Left,Anti-theist,YouTube,YouTube,C,C
24054.36113526,Socialist,Unclassified,YouTube,YouTube,L,L
9345.292701578,Black,Partisan Right,YouTube,YouTube,L,R
95919.166217925,Unclassified,Unclassified,Mainstream Media,YouTube,R,C
60.796612737,Partisan Right,Unclassified,Mainstream Media,Mainstream Media,C,R
0,Partisan Right,Black,Mainstream Media,YouTube,R,R
71684.683175092,Anti-SJW,Social Justice,YouTube,Missing Link Media,C,L
69011.769985472,Partisan Right,Libertarian,Missing Link Media,YouTube,R,R
26.997105018,Religious Conservative,Conspiracy,YouTube,YouTube,C,R
2.730929634,Partisan Left,QAnon,YouTube,YouTube,C,R
5574.56007995,MRA,Conspiracy,YouTube,YouTube,R,R
367566.21582722,Religious Conservative,Partisan Left,Missing Link Media,Mainstream Media,R,L
66.774103841,Center/Left MSM,QAnon,Mainstream Media,YouTube,L,C
568.188487709,Social Justice,Anti-SJW,YouTube,YouTube,L,L
3.12938533,Religious Conservative,Partisan Right,YouTube,Missing Link Media,C,R
7.740183097,Social Justice,QAnon,Mainstream Media,YouTube,L,C
8967.021120303,Conspiracy,Religious Conservative,YouTube,YouTube,C,R
0,,White Identitarian,,YouTube,,C
355798.265533204,White Identitarian,,YouTube,,R,
78.724358162,Religious Conservative,Religious Conservative,YouTube,Missing Link Media,C,R
345.751995889,Partisan Right,Partisan Left,YouTube,Mainstream Media,R,C
863.120711309,Libertarian,Anti-theist,YouTube,YouTube,R,L
227617.753106102,Anti-theist,,YouTube,,L,
276.536497676,Anti-SJW,Social Justice,YouTube,YouTube,C,C
1677.947841491,MRA,Unclassified,YouTube,YouTube,R,L
12612.732213338,QAnon,Center/Left MSM,YouTube,Mainstream Media,C,L
0.2195825568,Unclassified,LGBT,YouTube,YouTube,R,L
7185.056022481,QAnon,Black,YouTube,YouTube,R,C
154151.476216418,Anti-SJW,Partisan Left,Missing Link Media,Mainstream Media,R,L
605.272807048,Libertarian,Conspiracy,YouTube,YouTube,C,C
708.271097697,Partisan Left,Partisan Left,YouTube,YouTube,C,L
1126.340297991,QAnon,QAnon,YouTube,YouTube,C,R
525.078138145,Partisan Left,Anti-SJW,YouTube,YouTube,C,C
142498.160390342,Anti-SJW,,YouTube,,L,
71.726351506,White Identitarian,MRA,YouTube,YouTube,R,C
251.380966944,Center/Left MSM,Unclassified,Missing Link Media,YouTube,C,L
10722.041311403,Religious Conservative,Social Justice,Missing Link Media,YouTube,R,L
146.625943537,MRA,Anti-theist,YouTube,YouTube,C,L
65.559259209,Unclassified,Anti-SJW,YouTube,Missing Link Media,L,R
1859.343451076,Religious Conservative,Partisan Left,YouTube,YouTube,R,C
1480.29041814,Black,Religious Conservative,YouTube,YouTube,L,R
285.178757305,Social Justice,Social Justice,YouTube,Mainstream Media,C,L
35.806961079,Unclassified,MRA,YouTube,YouTube,C,C
5779.328005893,QAnon,MRA,YouTube,YouTube,R,R
130.230378179,Social Justice,Anti-SJW,YouTube,YouTube,C,C
0.6733538437,Anti-SJW,Social Justice,YouTube,Mainstream Media,C,C
356.332064658,Conspiracy,Black,YouTube,YouTube,C,L
481.14231842,QAnon,Black,YouTube,YouTube,C,C
69749.050163304,Black,Partisan Right,YouTube,Mainstream Media,L,R
819.84251191,Social Justice,Social Justice,Missing Link Media,YouTube,L,C
424.089568184,Anti-SJW,Anti-SJW,YouTube,YouTube,C,L
3.655653369,Libertarian,QAnon,YouTube,YouTube,R,C
0.05786403977,Black,Unclassified,YouTube,Mainstream Media,R,R
7.557185609,Black,Partisan Right,YouTube,Mainstream Media,R,R
566.121068636,Religious Conservative,Anti-theist,Missing Link Media,YouTube,R,C
44.997712685,Libertarian,Anti-theist,YouTube,YouTube,C,L
30.865734624,Conspiracy,Partisan Right,YouTube,YouTube,L,R
157.222123503,Unclassified,Libertarian,YouTube,YouTube,C,C
1792.084669472,Unclassified,Conspiracy,YouTube,YouTube,L,C
91565.547829197,Partisan Right,Anti-SJW,Missing Link Media,YouTube,R,R
24920.701256993,Center/Left MSM,Anti-SJW,Missing Link Media,YouTube,C,R
19953.969349993,Partisan Right,MRA,YouTube,YouTube,R,R
36485.224578903,Social Justice,Unclassified,Missing Link Media,Mainstream Media,L,R
1036.541207483,Center/Left MSM,Libertarian,Missing Link Media,YouTube,C,R
2140611.2346415,Social Justice,Social Justice,Missing Link Media,Mainstream Media,L,L
12475.82974946,Anti-SJW,Anti-theist,YouTube,YouTube,C,L
1088.038227162,Libertarian,MRA,YouTube,YouTube,R,R
4206.552183091,Unclassified,Unclassified,YouTube,YouTube,L,R
3137.024991626,Social Justice,Partisan Right,YouTube,Missing Link Media,L,R
15930.308739288,Partisan Right,Religious Conservative,Missing Link Media,YouTube,R,R
35714.598934988,Socialist,Center/Left MSM,YouTube,Mainstream Media,L,L
18389.883705816,Black,Partisan Left,YouTube,YouTube,L,L
117607.902964501,Conspiracy,Partisan Left,YouTube,Mainstream Media,C,L
1.887000579,Center/Left MSM,Partisan Right,Missing Link Media,YouTube,L,R
26.566937412,Partisan Left,Center/Left MSM,Mainstream Media,Mainstream Media,C,L
26366.549401281,Partisan Right,Unclassified,Missing Link Media,YouTube,R,R
57141.457071964,Libertarian,,YouTube,,C,
66525.802416995,White Identitarian,Libertarian,YouTube,YouTube,R,R
11875.995922621,Conspiracy,MRA,YouTube,YouTube,R,R
68440.92094395,Partisan Right,Partisan Right,YouTube,YouTube,C,R
101212.962795295,Partisan Right,Unclassified,Mainstream Media,Mainstream Media,R,R
359.954944356,Conspiracy,MRA,YouTube,YouTube,C,R
16.785571526,Partisan Left,Partisan Right,YouTube,YouTube,C,C
448.818067441,Unclassified,Partisan Right,YouTube,YouTube,C,C
4788.772791698,Anti-SJW,Partisan Left,YouTube,Mainstream Media,L,L
170.614043947,Partisan Left,Libertarian,YouTube,YouTube,C,R
7562.939950656,Anti-SJW,Unclassified,YouTube,YouTube,L,C
201.841018604,Social Justice,Black,YouTube,YouTube,C,C
924.778418103,Anti-theist,Libertarian,YouTube,YouTube,L,R
6608.57975131,Social Justice,Black,YouTube,YouTube,L,L
12.924498473,LGBT,MRA,YouTube,YouTube,L,R
85.462214531,Center/Left MSM,Center/Left MSM,Missing Link Media,Mainstream Media,L,L
21.928824158,Center/Left MSM,QAnon,Mainstream Media,YouTube,C,C
27426.807268798,Partisan Right,Partisan Right,YouTube,YouTube,C,C
1991.11058492,White Identitarian,Religious Conservative,YouTube,Missing Link Media,R,R
11947.821194931,QAnon,Unclassified,YouTube,YouTube,C,C
0,Center/Left MSM,Conspiracy,Mainstream Media,YouTube,C,L
0.0007331363636,Religious Conservative,Anti-theist,YouTube,YouTube,C,L
